romaji             , kana                  , kanji                 , chinese               , english            , example                                         , cn_meaning                                  , jp_meaning                                , scene
matsu              , まつ                  , 待つ                  , 等                    , wait               , ともだちをまちます。                            , 等待某人或某事                              , 待ち続ける                                , どうさ
kakureru           , かくれる              , 隠れる                , 躲藏                  , hide               , ベッドのしたにかくれました。                    , 藏起来不让人发现                            , 見えないようにする                        , どうさ
ryori-suru         , りょうりする          , 料理する              , 做饭                  , cook               , ばんごはんをりょうりします。                    , 准备食物                                    , 食べものをつくる                          , どうさ
yomu               , よむ                  , 読む                  , 读                    , read               , ほんをよみます。                                , 阅读文字                                    , 文字や本を読む                            , どうさ
kau                , かう                  , 買う                  , 买                    , buy                , パンをかいます。                                , 用钱交换物品                                , お金をはらってものを手に入れる            , どうさ
osu                , おす                  , 押す                  , 按                    , press              , ボタンをおします。                              , 用力推或按                                  , 力を加えて押す                            , どうさ
utau               , うたう                , 歌う                  , 唱歌                  , sing               , カラオケでうたいます。                          , 发出旋律性声音                              , 声に出して歌う                            , どうさ
haku               , はく                  , 履く                  , 穿                    , put on (lower body), くつをはきます。                                , 穿鞋或裤子                                  , 下半身に身につける                        , どうさ
tsumu              , つむ                  , 積む                  , 堆叠                  , stack              , はこをつみます。                                , 一个一个往上放                              , 上に重ねる                                , どうさ
fuku               , ふく                  , 吹く                  , 吹                    , blow               , ろうそくをふきます。                            , 用嘴吹气                                    , 口から息を出す                            , どうさ
hiku               , ひく                  , 引く                  , 拉                    , pull               , ドアをひきます。                                , 向自己方向拉                                , 自分のほうへ引っぱる                      , どうさ
korobu             , ころぶ                , 転ぶ                  , 摔倒                  , fall down          , つまずいてころびました。                        , 身体失去平衡倒下                            , バランスをくずしてたおれる                , どうさ
aruku              , あるく                , 歩く                  , 走路                  , walk               , まいにちこうえんをあるきます。                  , 用脚步前进                                  , 足であるく                                , どうさ
hashiru            , はしる                , 走る                  , 跑                    , run                , がっこうまではしります。                        , 快速前进                                    , 速く歩く                                  , どうさ
suwaru             , すわる                , 座る                  , 坐                    , sit                , いすにすわります。                              , 让身体落座                                  , 腰をおろして座る                          , どうさ
getsu-yobi         , げつようび            , 月曜日                , 星期一                , Monday             , 月曜日に学校が始まります。                      , 一周的第一天                                , 週の最初の日                              , いろいろなーひ
ka-yobi            , かようび              , 火曜日                , 星期二                , Tuesday            , 火曜日にはサッカーの練習があります。            , 一周的第二天                                , 週の二番目の日                            , いろいろなーひ
sui-yobi           , すいようび            , 水曜日                , 星期三                , Wednesday          , 水曜日は会議の日です。                          , 一周的第三天                                , 週の三番目の日                            , いろいろなーひ
moku-yobi          , もくようび            , 木曜日                , 星期四                , Thursday           , 木曜日に友達と映画を見に行きます。              , 一周的第四天                                , 週の四番目の日                            , いろいろなーひ
kin-yobi           , きんようび            , 金曜日                , 星期五                , Friday             , 金曜日はテストがあります。                      , 一周的第五天                                , 週の五番目の日                            , いろいろなーひ
do-yobi            , どようび              , 土曜日                , 星期六                , Saturday           , 土曜日に買い物に行きます。                      , 一周的第六天                                , 週の六番目の日                            , いろいろなーひ
nichi-yobi         , にちようび            , 日曜日                , 星期日                , Sunday             , 日曜日は家族と過ごします。                      , 一周的第七天                                , 週の七番目の日                            , いろいろなーひ
karenda            , カレンダー            , カレンダー            , 日历                  , calendar           , 壁にカレンダーをかけています。                  , 显示日期的工具                              , 日付を確認するためのもの                  , いろいろなーひ
asa                , あさ                  , 朝                    , 早上                  , morning            , 朝にジョギングをします。                        , 一天的开始时间段                            , 一日の始まりの時間                        , いろいろなーひ
taiyo              , たいよう              , 太陽                  , 太阳                  , sun                , 太陽が東から昇ります。                          , 白天发光发热的天体                          , 空に輝く星で、地球を照らすもの            , いろいろなーひ
yugata             , ゆうがた              , 夕方                  , 傍晚                  , evening            , 夕方には涼しくなります。                        , 天黑前的时间段                              , 日が沈む前の時間                          , いろいろなーひ
yuru               , ゆる                  , 夜                    , 夜晚                  , night              , 夜には星が見えます。                            , 日落之后的时间                              , 日が沈んだ後の時間                        , いろいろなーひ
uchu               , うちゅう              , 宇宙                  , 宇宙                  , universe           , 宇宙には多くの星があります。                    , 包含星体、行星等的巨大空间                  , 地球の外にある広大な空間                  , いろいろなーひ
wakusei            , わくせい              , 惑星                  , 行星                  , planet             , 地球は太陽系の惑星です。                        , 太阳系中的天体                              , 太陽の周りを回る天体                      , いろいろなーひ
uchu-sen           , うちゅうせん          , 宇宙船                , 宇宙飞船              , spaceship          , 宇宙船が火星に向かっています。                  , 在太空中航行的飞行器                        , 宇宙を航行する乗り物                      , いろいろなーひ
tentai-boenkyo     , てんたいぼうえんきょう, 天体望遠鏡            , 天文望远镜            , telescope          , 天体望遠鏡で星を観察します。                    , 观测星星等天体的仪器                        , 星や惑星を観察するための道具              , いろいろなーひ
tanjobi            , たんじょうび          , 誕生日                , 生日                  , birthday           , 誕生日にケーキを食べました。                    , 纪念出生的特别日子                          , 生まれた日を祝う日                        , とくべつなひ
rosoku             , ろうそく              , ろうそく              , 蜡烛                  , candle             , ケーキの上にろうそくを立てました。              , 用于点燃庆祝的蜡制物                        , 火をつけるための小さな道具                , とくべつなひ
basude-kado        , バースデーカード      , バースデーカード      , 生日卡                , birthday card      , 友達からバースデーカードをもらいました。        , 写有祝福语的卡片                            , 誕生日を祝うためのカード                  , とくべつなひ
kyuka              , きゅうか              , 休暇                  , 假期                  , holiday/vacation   , 夏休みに家族と旅行します。                      , 不用工作或上学的日子                        , 仕事や学校が休みの日                      , とくべつなひ
purezento          , プレゼント            , プレゼント            , 礼物                  , present/gift       , 誕生日にプレゼントをもらいました。              , 表达祝福或感谢的物品                        , お祝いや感謝の気持ちを込めた品物          , とくべつなひ
basude-keki        , バースデーケーキ      , バースデーケーキ      , 生日蛋糕              , birthday cake      , 大きなバースデーケーキを食べました。            , 生日当天吃的蛋糕                            , 誕生日に食べる特別なケーキ                , とくべつなひ
kekkon-shiki       , けっこんしき          , 結婚式                , 婚礼                  , wedding ceremony   , 彼らの結婚式に出席しました。                    , 两人结婚时举办的仪式                        , 結婚を祝うための儀式                      , とくべつなひ
kamera             , カメラ                , カメラ                , 相机                  , camera             , カメラで写真を撮りました。                      , 用于拍照的工具                              , 写真を撮るための道具                      , とくべつなひ
buraizu meido      , ブライズメイド        , ブライズメイド        , 伴娘                  , bridesmaid         , ブライズメイドが花嫁を助けています。            , 协助新娘的女性朋友                          , 結婚式で花嫁を助ける女性                  , とくべつなひ
hana-yome          , はなよめ              , 花嫁                  , 新娘                  , bride              , 花嫁がとても美しかったです。                    , 举行婚礼的女性                              , 結婚する女性                              , とくべつなひ
hana-muko          , はなむこ              , 花婿                  , 新郎                  , groom              , 花婿が緊張していました。                        , 举行婚礼的男性                              , 結婚する男性                              , とくべつなひ
kamera-man         , カメラマン            , カメラマン            , 摄影师                , cameraman          , カメラマンが写真を撮っています。                , 拍照或摄影的专业人员                        , 写真や映像を撮る人                        , とくべつなひ
kurisumasu         , クリスマス            , クリスマス            , 圣诞节                , Christmas          , クリスマスにプレゼントを交換します。            , 每年12月25日的节日                          , 12月25日の特別な日                        , とくべつなひ
tonakai            , トナカイ              , トナカイ              , 驯鹿                  , reindeer           , トナカイがソリを引いています。                  , 传说中帮助圣诞老人拉雪橇的动物              , サンタのソリを引く動物                    , とくべつなひ
sori               , そり                  , そり                  , 雪橇                  , sleigh             , 子供たちはそりで遊んでいます。                  , 滑雪或运输用的雪上交通工具                  , 雪の上で使う乗り物                        , とくべつなひ
santa-kurosu       , サンタクロース        , サンタクロース        , 圣诞老人              , Santa Claus        , サンタクロースがプレゼントを持ってきました。    , 圣诞节送礼物的老人形象                      , 子供にプレゼントを配る人物                , とくべつなひ
kurisumasu-tsurii  , クリスマスツリー      , クリスマスツリー      , 圣诞树                , Christmas tree     , 家にクリスマスツリーを飾りました。              , 圣诞节装饰的常青树                          , クリスマスに飾る木                        , とくべつなひ
kasa               , かさ                  , 傘                    , 雨伞                  , umbrella           , 雨の日には傘を持って行きます。                  , 用于遮雨的工具                              , 雨を防ぐための道具                        , てんき
taiyo              , たいよう              , 太陽                  , 太阳                  , sun                , 太陽が昇ると暖かくなります。                    , 发光发热的天体                              , 空に輝く星で、地球を照らすもの            , てんき
kumo               , くも                  , 雲                    , 云                    , cloud              , 空に白い雲が浮かんでいます。                    , 天空中的水汽凝结体                          , 空に浮かぶ白いもの                        , てんき
sora               , そら                  , 空                    , 天空                  , sky                , 青い空が広がっています。                        , 地球上方的空间                              , 地球の上に広がる空間                      , てんき
ame                , あめ                  , 雨                    , 雨                    , rain               , 外は雨が降っています。                          , 从天空降下的水滴                            , 空から降る水                              , てんき
kaminari           , かみなり              , 雷                    , 雷                    , thunder            , 昨夜は雷が鳴っていました。                      , 天空中的电闪雷鸣                            , 空で鳴る大きな音                          , てんき
kiri               , きり                  , 霧                    , 雾                    , fog                , 朝は霧が濃かったです。                          , 空气中的水汽形成的白色模糊现象              , 空気中の水蒸気が白く見える現象            , てんき
yuki               , ゆき                  , 雪                    , 雪                    , snow               , 山に雪が積もっています。                        , 冬天从天空降下的冰晶                        , 冬に空から降る白い結晶                    , てんき
tsuyu              , つゆ                  , 梅雨                  , 梅雨                  , rainy season       , 梅雨の時期は湿度が高いです。                    , 夏季前的多雨时期                            , 夏の前に続く雨の多い時期                  , てんき
kaze               , かぜ                  , 風                    , 风                    , wind               , 強い風が吹いています。                          , 空气的流动                                  , 空気の流れ                                , てんき
kasumi             , かすみ                , 霞                    , 薄雾                  , haze               , 山が霞んで見えます。                            , 轻微的雾气                                  , 薄くて白い霧                              , てんき
shimo              , しも                  , 霜                    , 霜                    , frost              , 朝、草に霜が降りていました。                    , 冷凝在地面的冰晶                            , 冷たい空気でできた氷の結晶                , てんき
niji               , にじ                  , 虹                    , 彩虹                  , rainbow            , 雨の後に虹が出ました。                          , 雨后天空中的彩色弧形光带                    , 雨上がりに見える七色の弧                  , てんき
haru               , はる                  , 春                    , 春天                  , spring             , 春には桜が咲きます。                            , 一年四季中的第一季节                        , 一年の最初の季節                          , きせつ
natsu              , なつ                  , 夏                    , 夏天                  , summer             , 夏は海で泳ぎます。                              , 一年中最热的季节                            , 一年で最も暑い季節                        , きせつ
aki                , あき                  , 秋                    , 秋天                  , autumn             , 秋には紅葉が美しいです。                        , 一年中收获的季节                            , 一年で実りの多い季節                      , きせつ
fuyu               , ふゆ                  , 冬                    , 冬天                  , winter             , 冬は雪が降ります。                              , 一年中最冷的季节                            , 一年で最も寒い季節                        , きせつ
jui                , じゅうい              , 獣医                  , 兽医                  , veterinarian       , ペットを獣医に連れて行きました。                , 治疗动物的医生                              , 動物の健康を診る医者                      , ペット
hamusuta           , ハムスター            , ハムスター            , 仓鼠                  , hamster            , ハムスターが回し車で遊んでいます。              , 小型啮齿类宠物                              , 小さな齧歯類のペット                      , ペット
inu-gora           , いぬごら              , 犬小屋                , 狗窝                  , doghouse           , 犬が犬小屋で寝ています。                        , 狗休息的地方                                , 犬が休むための小屋                        , ペット
morumotto          , モルモット            , モルモット            , 豚鼠                  , guinea pig         , モルモットを飼っています。                      , 小型啮齿类宠物                              , 小さな齧歯類のペット                      , ペット
inu                , いぬ                  , 犬                    , 狗                    , dog                , 犬と散歩に行きます。                            , 常见的宠物动物                              , 一般的なペットの動物                      , ペット
ko-inu             , こいぬ                , 子犬                  , 小狗                  , puppy              , 子犬が元気に走り回っています。                  , 幼小的狗                                    , 小さな犬                                  , ペット
omu                , オウム                , 鸚鵡                  , 鹦鹉                  , parrot             , オウムが話しています。                          , 会模仿人类语言的鸟类                        , 人の言葉を真似する鳥                      , ペット
esa                , えさ                  , 餌                    , 饲料                  , pet food           , ペットに餌を与えました。                        , 喂养宠物的食物                              , ペットに与える食べ物                      , ペット
kuchibashi         , くちばし              , くちばし              , 喙                    , beak               , 鳥のくちばしは鋭いです。                        , 鸟类的嘴部结构                              , 鳥の口の部分                              , ペット
sekisei-inko       , せきせいいんこ        , セキセイインコ        , 虎皮鹦鹉              , budgerigar         , セキセイインコを飼っています。                  , 小型彩色鹦鹉                                , 小さなカラフルな鳥                        , ペット
usagi              , うさぎ                , 兎                    , 兔子                  , rabbit             , うさぎが跳ねています。                          , 长耳朵的哺乳动物                            , 長い耳を持つ動物                          , ペット
kanaria            , カナリア              , カナリア              , 金丝雀                , canary             , カナリアが美しい声で鳴いています。              , 善于歌唱的小鸟                              , 美しい声で鳴く小鳥                        , ペット
torikago           , とりかご              , 鳥籠                  , 鸟笼                  , birdcage           , 鳥籠の中に小鳥がいます。                        , 用于饲养鸟类的笼子                          , 鳥を飼うための檻                          , ペット
neko               , ねこ                  , 猫                    , 猫                    , cat                , 猫が窓辺で寝ています。                          , 常见的宠物动物                              , 一般的なペットの動物                      , ペット
basuketto          , バスケット            , バスケット            , 篮子                  , basket             , 猫がバスケットの中で丸くなっています。          , 用于盛放物品的容器                          , 物を入れるための容器                      , ペット
ko-neko            , こねこ                , 子猫                  , 小猫                  , kitten             , 子猫が遊んでいます。                            , 幼小的猫                                    , 小さな猫                                  , ペット
nezumi             , ねずみ                , 鼠                    , 老鼠                  , mouse              , 猫がねずみを追いかけています。                  , 小型啮齿动物                                , 小さな齧歯類の動物                        , ペット
gyunyu             , ぎゅうにゅう          , 牛乳                  , 牛奶                  , milk               , 猫に牛乳をあげました。                          , 从牛体内获得的乳汁                          , 牛から取れる白い液体                      , ペット
kingyo             , きんぎょ              , 金魚                  , 金鱼                  , goldfish           , 金魚が水槽で泳いでいます。                      , 常见的观赏鱼                                , 観賞用の小さな魚                          , ペット
meiri-go-rando     , メリーゴーランド      , メリーゴーランド      , 旋转木马              , merry-go-round     , ゆうえんちでメリーゴーランドにのりました。      , 游乐园里的旋转木马                          , 遊園地にある回転する木馬の乗り物          , ゆうえんち
karansha           , かんらんしゃ          , 観覧車                , 摩天轮                , ferris wheel       , たかいかんらんしゃにのりました。                , 可以俯瞰全景的大型转轮                      , 空中を回る大型の乗り物                    , ゆうえんち
matto              , マット                , マット                , 垫子                  , mat                , マットのうえでやすみました。                    , 用来坐或躺的软垫                            , 柔らかく敷くもの                          , ゆうえんち
suberidai          , すべりだい            , 滑り台                , 滑梯                  , slide              , すべり台ですべってあそびます。                  , 让小朋友滑下的玩具                          , 子どもがすべるための遊具                  , ゆうえんち
obake-yashiki      , おばけやしき          , お化け屋敷            , 鬼屋                  , haunted house      , おばけやしきはちょっとこわいです。              , 里面有“鬼”装饰的房间                        , お化けの飾りがある建物                    , ゆうえんち
wanage             , わなげ                , 輪投げ                , 套圈                  , ring toss          , わなげでおもちゃをもらいました。                , 一种投掷圆圈的游戏                          , 輪を的に向かって投げる遊び                , ゆうえんち
poppu-kon          , ポップコーン          , ポップコーン          , 爆米花                , popcorn            , ポップコーンをかってたべました。                , 用玉米做的小吃                              , トウモロコシを弾けさせた軽食              , ゆうえんち
jetto-kosuta       , ジェットコースター    , ジェットコースター    , 过山车                , roller coaster     , ジェットコースターにのってさけびました。        , 快速起伏的游乐设施                          , 急に上下左右に動く乗り物                  , ゆうえんち
shageki            , しゃげき              , 射撃                  , 射击                  , shooting           , しゃげきでまとをねらいます。                    , 以枪或道具瞄准目标                          , 的を狙って打つ遊び                        , ゆうえんち
go-kato            , ゴーカート            , ゴーカート            , 卡丁车                , go-kart            , ゴーカートにのってはしりました。                , 小型儿童驾驶车                              , 小さな車で走る遊具                        , ゆうえんち
wata-ame           , わたあめ              , 綿飴                  , 棉花糖                , cotton candy       , わたあめはふわふわしておいしいです。            , 蓬松甜点                                    , 砂糖を回転させて作る甘いお菓子            , ゆうえんち
ichirinsha-nori    , いちりんしゃのり      , 一輪車乗り            , 独轮车表演            , unicycle riding    , いちりんしゃのりのじょうずなひとがいました。    , 骑一轮车的特技表演                          , 一輪車に乗る芸                            , サーカス
akurabatto         , アクロバット          , アクロバット          , 杂技                  , acrobatics         , アクロバットはとてもかっこいいです。            , 高难度体技表演                              , 体を使ってする難しい技                    , サーカス
kyokugeisha        , きょくげいし          , 曲芸師                , 杂技师                , acrobat            , きょくげいしがくうちゅうでまわっていました。    , 马戏团里表演高难动作的人                    , 曲芸をする人                              , サーカス
wa                 , わ                    , 輪                    , 圈                    , ring               , いぬがわをとびこえました。                      , 演出时用的圆形物                            , 丸くて細長い道具                          , サーカス
inu                , いぬ                  , 犬                    , 狗                    , dog                , いぬがわざをしました。                          , 会表演节目的狗                              , 芸をする動物                              , サーカス
chokyoshi          , ちょうきょうし        , 調教師                , 驯兽师                , trainer            , ちょうきょうしがとりをあやつります。            , 训练动物的工作人员                          , 動物に芸を教える人                        , サーカス
bando              , バンド                , バンド                , 乐队                  , band               , バンドがおんがくをひきます。                    , 演奏音乐的小组                              , 音楽を演奏するグループ                    , サーカス
umanori            , うまのり              , 馬乗り                , 骑马表演              , horse riding       , うまのうえでとびました。                        , 马背上的表演动作                            , 馬に乗ってする芸                          , サーカス
piero              , ピエロ                , ピエロ                , 小丑                  , clown              , ピエロがおもしろいかおをします。                , 用妆容和动作让人发笑的人                    , 人を笑わせる役                            , サーカス
cho-neutai         , ちょうねうたい        , 超人隊                , 特技团                , stunt team         , ちょうねうたいがすごいジャンプをしました。      , 做超常动作的团队                            , 特別な技を見せる集団                      , サーカス
shiruku-hatto      , シルクハット          , シルクハット          , 高顶礼帽              , top hat            , ピエロがシルクハットをかぶっています。          , 高高的正式帽子                              , つばの広い高い帽子                        , サーカス
usagi              , うさぎ                , 兎                    , 兔子                  , rabbit             , うさぎがわをとびこえました。                    , 小巧温顺的动物                              , 耳が長い小動物                            , サーカス
anzen-netto        , あんぜんネット        , 安全ネット            , 安全网                , safety net         , あんぜんネットがしたにあります。                , 防止坠落伤害的网                            , 落下しても守ってくれるネット              , サーカス
waiya-ropu         , ワイヤーロープ        , ワイヤーロープ        , 钢丝绳                , wire rope          , ワイヤーロープのうえをあるきます。              , 用于空中表演的绳索                          , 空中に張る強いロープ                      , サーカス
bo                 , ぼう                  , 棒                    , 棍子                  , stick              , ぼうでバランスをとります。                      , 细长的器具                                  , 長くて細い道具                            , サーカス
tsunawatari        , つなわたり            , 綱渡り                , 走钢丝                , tightrope walking  , つなわたりはとてもむずかしいです。              , 在绳索上行走的技艺                          , 細い綱の上を歩く芸                        , サーカス
kuchu-buranko      , くうちゅうブランコ    , 空中ブランコ          , 空中飞人              , fly bar            , くうちゅうブランコでとびました。                , 空中摆动跳跃的表演                          , 空中でぶら下がって飛ぶ技                  , サーカス
kuro               , くろ                  , 黒                    , 黑色                  , black              , 黒い猫が道を横切った。                          , 黑色                                        , 暗い色                                    , いろ
orenji-iro         , オレンジいろ          , 橙色                  , 橙色                  , orange             , オレンジ色の服を着ています。                    , 橙色                                        , 柑橘のような色                            , いろ
midori             , みどり                , 緑                    , 绿色                  , green              , 緑の葉が美しい。                                , 绿色                                        , 植物の色                                  , いろ
hai-iro            , はいいろ              , 灰色                  , 灰色                  , gray               , 灰色の雲が空を覆っている。                      , 灰色                                        , 灰のような色                              , いろ
aka                , あか                  , 赤                    , 红色                  , red                , 赤い花が咲いている。                            , 红色                                        , 情熱的な色                                , いろ
ki-iro             , きいろ                , 黄色                  , yellow                , 黄色               , 黄色いバナナを食べた。                          , 黄色                                        , 明るい色                                  , いろ
murasaki           , むらさき              , 紫                    , 紫色                  , purple             , 紫の花が咲いている。                            , 紫色                                        , 高貴な色                                  , いろ
pinku              , ピンク                , ピンク                , 粉红色                , pink               , ピンクのドレスを着ている。                      , 粉红色                                      , 可愛らしい色                              , いろ
ao                 , あお                  , 青                    , 蓝色                  , blue               , 青い空が広がっている。                          , 蓝色                                        , 空や海の色                                , いろ
shiro              , しろ                  , 白                    , 白色                  , white              , 白い雪が降っている。                            , 白色                                        , 清潔な色                                  , いろ
cha-iro            , ちゃいろ              , 茶色                  , 棕色                  , brown              , 茶色の靴を履いている。                          , 棕色                                        , 木や土の色                                , いろ
hishitaga          , ひしがた              , 菱形                  , 菱形                  , diamond            , 菱形の模様がある。                              , 菱形                                        , 四つの辺が等しい形                        , かたち
ensui              , えんすい              , 円錐                  , 圆锥体                , cone               , 円錐の帽子をかぶっている。                      , 圆锥体                                      , 底が円の立体                              , かたち
chohokei           , ちょうほうけい        , 長方形                , 长方形                , rectangle          , 長方形のテーブルがある。                        , 长方形                                      , 四角い形                                  , かたち
maru               , まる                  , 丸                    , 圆形                  , circle             , 丸いボールで遊ぶ。                              , 圆形                                        , 円の形                                    , かたち
hoshi-gata         , ほしがた              , 星形                  , 星形                  , star               , 星形の飾りをつける。                            , 星形                                        , 星の形                                    , かたち
rippotai           , りっぽうたい          , 立方体                , 立方体                , cube               , 立方体の箱を使う。                              , 立方体                                      , 六つの面がある立体                        , かたち
mikazuki-gata      , みかづきがた          , 三日月形              , 新月形                , crescent           , 三日月形のネックレスをつける。                  , 新月形                                      , 月の形                                    , かたち
eihokei            , えいほうけい          , 楕円形                , 椭圆形                , oval               , 楕円形の鏡を見る。                              , 椭圆形                                      , 卵のような形                              , かたち
sankakukei         , さんかくけい          , 三角形                , 三角形                , triangle           , 三角形の旗がある。                              , 三角形                                      , 三つの辺がある形                          , かたち
daenkei            , だえんけい            , 楕円形                , 椭圆形                , ellipse            , 楕円形の池がある。                              , 椭圆形                                      , 長い円の形                                , かたち
ichi               , いち                  , 一                    , 一                    , one                , りんごが一つあります。                          , 一                                          , 最初の数                                  , かず
ni                 , に                    , 二                    , 二                    , two                , 猫が二匹います。                                , 二                                          , 一の次                                    , かず
san                , さん                  , 三                    , 三                    , three              , 本が三冊あります。                              , 三                                          , 二の次                                    , かず
shi                , し                    , 四                    , 四                    , four               , 椅子が四脚あります。                            , 四                                          , 三の次                                    , かず
go                 , ご                    , 五                    , 五                    , five               , 手に五本の指があります。                        , 五                                          , 四の次                                    , かず
roku               , ろく                  , 六                    , 六                    , six                , 六つの卵があります。                            , 六                                          , 五の次                                    , かず
shichi             , しち                  , 七                    , 七                    , seven              , 七人の侍がいます。                              , 七                                          , 六の次                                    , かず
hachi              , はち                  , 八                    , 八                    , eight              , 八つのリンゴがあります。                        , 八                                          , 七の次                                    , かず
kyu                , きゅう                , 九                    , 九                    , nine               , 九つの星が見える。                              , 九                                          , 八の次                                    , かず
ju                 , じゅう                , 十                    , 十                    , ten                , 十本の鉛筆があります。                          , 十                                          , 九の次                                    , かず
juichi             , じゅういち            , 十一                  , 十一                  , eleven             , 十一人の選手がいます。                          , 十一                                        , 十の次                                    , かず
juni               , じゅうに              , 十二                  , 十二                  , twelve             , 十二ヶ月があります。                            , 十二                                        , 十一の次                                  , かず
jusan              , じゅうさん            , 十三                  , 十三                  , thirteen           , 十三本のバラがあります。                        , 十三                                        , 十二の次                                  , かず
jushi              , じゅうし              , 十四                  , 十四                  , fourteen           , 十四匹の魚がいます。                            , 十四                                        , 十三の次                                  , かず
jugo               , じゅうご              , 十五                  , 十五                  , fifteen            , 十五人の学生がいます。                          , 十五                                        , 十四の次                                  , かず
